product_id,category,brand,option,r,g,b,L,a,b,hex,case_type,timestamp
TEMP940700,liptint,3CE,넥타,129,66,64,10.7576,26.7982,13.5349,#814240,A_normal,2025-11-25 11:49:52
TEMP583652,liptint,3CE,니트웜베스트,212,81,89,15.7551,52.1396,22.9238,#D45159,A_normal,2025-11-25 11:49:52
TEMP607542,liptint,3CE,드리미겨울쿨추천,171,86,96,14.1552,35.7386,10.4268,#AB5660,A_normal,2025-11-25 11:49:52
TEMP482972,liptint,3CE,라일락글레이즈,186,108,133,16.4783,34.1277,-0.2189,#BA6C85,A_normal,2025-11-25 11:49:52
TEMP090653,liptint,3CE,레드뮤즈,222,67,65,15.5275,59.6748,36.3087,#DE4341,A_normal,2025-11-25 11:49:52
TEMP340031,liptint,3CE,레인오어샤인,210,109,117,17.3902,40.4412,13.8932,#D26D75,A_normal,2025-11-25 11:49:52
TEMP787169,liptint,3CE,머머링,219,121,110,18.4611,36.9128,22.9812,#DB796E,A_normal,2025-11-25 11:49:52
TEMP231933,liptint,3CE,밀키섀도우,184,121,104,17.0836,22.5904,19.4426,#B87968,A_normal,2025-11-25 11:49:52
TEMP313079,liptint,3CE,버디웜추천,231,124,115,19.1621,40.3255,23.5741,#E77C73,A_normal,2025-11-25 11:49:52
TEMP556266,liptint,3CE,세컨드스킨,166,81,74,13.4776,34.3174,20.4987,#A6514A,A_normal,2025-11-25 11:49:52
TEMP092087,liptint,3CE,센슈얼브리즈,189,100,89,15.7717,34.521,22.3508,#BD6459,A_normal,2025-11-25 11:49:52
TEMP832345,liptint,3CE,소프티스트,215,129,123,18.8985,32.4776,17.5177,#D7817B,A_normal,2025-11-25 11:49:52
TEMP830423,liptint,3CE,스모크핑크,210,88,85,15.9962,47.9871,26.2538,#D25855,A_normal,2025-11-25 11:49:52
TEMP147755,liptint,3CE,스피크투미,178,66,56,13.1179,44.9455,30.0997,#B24238,A_normal,2025-11-25 11:49:52
TEMP972716,liptint,3CE,오트봄웜베이스립추천,227,136,121,19.7999,33.1545,22.983,#E38879,A_normal,2025-11-25 11:49:52
TEMP127174,liptint,3CE,오팔샤워,210,149,149,20.2659,22.9531,9.191,#D29595,A_normal,2025-11-25 11:49:52
TEMP957019,liptint,3CE,워미시무브,204,117,83,17.4645,30.9135,33.3982,#CC7553,A_normal,2025-11-25 11:49:52
TEMP790507,liptint,3CE,웨이백,193,115,99,16.9762,28.9746,22.0165,#C17363,A_normal,2025-11-25 11:49:52
TEMP053273,liptint,3CE,유어사이드여름쿨추천,239,99,129,18.1985,56.4201,11.3355,#EF6381,A_normal,2025-11-25 11:49:52
TEMP069449,liptint,3CE,이터널웜,184,108,85,16.0716,27.8729,25.8364,#B86C55,A_normal,2025-11-25 11:49:52
TEMP662804,liptint,3CE,칠무브,151,70,67,12.0574,33.6827,18.0728,#974643,A_normal,2025-11-25 11:49:52
TEMP674254,liptint,3CE,코지위스퍼쿨베스트,219,85,107,16.4045,54.1229,15.4025,#DB556B,A_normal,2025-11-25 11:49:52
TEMP655946,liptint,3CE,콜디스트,121,46,66,9.1297,34.6861,4.4926,#792E42,A_normal,2025-11-25 11:49:52
TEMP880364,liptint,3CE,텍스트미겨울쿨추천,184,57,86,13.1797,52.8497,12.3295,#B83956,A_normal,2025-11-25 11:49:52
TEMP806373,liptint,3CE,토프베이지가을웜추천,189,110,96,16.4653,29.8095,21.3717,#BD6E60,A_normal,2025-11-25 11:49:52
TEMP892725,liptint,3CE,패시네이티드,223,118,147,18.6901,43.8729,2.9901,#DF7693,A_normal,2025-11-25 11:49:52
TEMP164552,liptint,3CE,포커스온미,218,102,87,17.1519,44.2996,30.283,#DA6657,A_normal,2025-11-25 11:49:52
TEMP235417,liptint,3CE,퓨어블렌딩여름쿨베이스립추천,236,136,149,20.3208,39.5031,9.874,#EC8895,A_normal,2025-11-25 11:49:52
TEMP750086,liptint,3CE,허쉬레드뉴트럴베스트,219,63,82,15.2862,61.1041,25.2635,#DB3F52,A_normal,2025-11-25 11:49:52
