product_id,case_type,category,brand,option,r,g,b,L,a,b,hex,timestamp
A20251125134524213797,A_normal,liptint,3CE,소프티스트,216,136,130,49,159,145,#D88882,2025-11-25 13:45:24
A20251125134524114139,A_normal,liptint,3CE,솔티시나몬,159,117,110,40,144,139,#9F756E,2025-11-25 13:45:24
A20251125134524260005,A_normal,liptint,3CE,스모크핑크,211,91,87,41,176,155,#D35B57,2025-11-25 13:45:24
A20251125134524265341,A_normal,liptint,3CE,스피크투미,181,70,59,34,173,159,#B5463B,2025-11-25 13:45:24
A20251125134524236089,A_normal,liptint,3CE,애프리콧필터,200,141,128,49,150,144,#C88D80,2025-11-25 13:45:24
A20251125134524122926,A_normal,liptint,3CE,오트봄웜베이스립추천,234,174,164,58,150,142,#EAAEA4,2025-11-25 13:45:24
A20251125134524671639,A_normal,liptint,3CE,오팔샤워,210,148,149,51,152,137,#D29495,2025-11-25 13:45:24
A20251125134524666365,A_normal,liptint,3CE,워미시무브,205,118,84,45,161,162,#CD7654,2025-11-25 13:45:24
A20251125134524309960,A_normal,liptint,3CE,웨이백,193,114,98,43,159,151,#C17262,2025-11-25 13:45:24
A20251125134524327158,A_normal,liptint,3CE,유어사이드여름쿨추천,244,131,156,52,174,135,#F4839C,2025-11-25 13:45:24
A20251125134524256973,A_normal,liptint,3CE,이터널웜,185,109,87,41,157,154,#B96D57,2025-11-25 13:45:24
A20251125134524746646,A_normal,liptint,3CE,인더포그,213,173,173,57,143,134,#D5ADAD,2025-11-25 13:45:24
A20251125134524296615,A_normal,liptint,3CE,칠무브,153,71,69,31,163,146,#994745,2025-11-25 13:45:24
A20251125134524231037,A_normal,liptint,3CE,코지위스퍼쿨베스트,229,133,149,51,167,136,#E58595,2025-11-25 13:45:25
A20251125134525173984,A_normal,liptint,3CE,콜디스트,128,55,75,26,162,132,#80374B,2025-11-25 13:45:25
A20251125134525123734,A_normal,liptint,3CE,텍스트미겨울쿨추천,210,129,147,48,162,132,#D28193,2025-11-25 13:45:25
A20251125134525810486,A_normal,liptint,3CE,토프베이지가을웜추천,198,141,130,49,149,143,#C68D82,2025-11-25 13:45:25
A20251125134525303934,A_normal,liptint,3CE,패시네이티드,241,194,207,63,147,128,#F1C2CF,2025-11-25 13:45:25
A20251125134525125311,A_normal,liptint,3CE,포커스온미,221,106,90,45,173,159,#DD6A5A,2025-11-25 13:45:25
A20251125134525169736,A_normal,liptint,3CE,퓨어레이어,210,120,123,46,164,143,#D2787B,2025-11-25 13:45:25
A20251125134525291636,A_normal,liptint,3CE,퓨어블렌딩여름쿨베이스립추천,241,170,179,58,156,134,#F1AAB3,2025-11-25 13:45:25
A20251125134525300142,A_normal,liptint,3CE,허쉬레드뉴트럴베스트,230,118,130,48,173,143,#E67682,2025-11-25 13:45:25
A20251125134525221973,A_normal,liptint,3CE,헤이지로즈,176,77,80,35,169,147,#B04D50,2025-11-25 13:45:26
A20251125134526335546,A_normal,liptint,네이밍,ANN안,234,136,143,51,167,141,#EA888F,2025-11-25 13:45:26
A20251125134526125112,A_normal,liptint,네이밍,BREVITY브레버티,195,137,119,48,149,147,#C38977,2025-11-25 13:45:26
A20251125134526322017,A_normal,liptint,네이밍,FURTIVE퍼티브,194,105,123,42,166,135,#C2697B,2025-11-25 13:45:26
A20251125134526276577,A_normal,liptint,네이밍,KNELL넬,206,125,112,46,159,149,#CE7D70,2025-11-25 13:45:26
A20251125134526196239,A_normal,liptint,네이밍,MANDY맨디,166,88,81,36,160,147,#A65851,2025-11-25 13:45:26
A20251125134526223239,A_normal,liptint,네이밍,RIZZ리즈,207,117,121,45,164,142,#CF7579,2025-11-25 13:45:26
A20251125134526284864,A_normal,liptint,네이밍,TENZE텐즈,166,82,93,35,164,139,#A6525D,2025-11-25 13:45:26
A20251125134526306485,A_normal,liptint,네이밍,UPTICK업틱,233,93,91,44,183,159,#E95D5B,2025-11-25 13:45:26
A20251125134526266366,A_normal,liptint,네이처리퍼블릭,단독00쉬폰그레이,204,145,146,50,151,137,#CC9192,2025-11-25 13:45:26
A20251125134526245633,A_normal,liptint,네이처리퍼블릭,01폭닥베이지,228,133,129,50,165,147,#E48581,2025-11-25 13:45:26
A20251125134526323800,A_normal,liptint,네이처리퍼블릭,02뽀용코랄,246,137,135,53,170,148,#F68987,2025-11-25 13:45:26
A20251125134526152593,A_normal,liptint,네이처리퍼블릭,03포그브라운,227,126,119,49,167,150,#E37E77,2025-11-25 13:45:27
A20251125134527909439,A_normal,liptint,네이처리퍼블릭,04버니핑크,239,132,145,51,171,140,#EF8491,2025-11-25 13:45:27
A20251125134527175195,A_normal,liptint,네이처리퍼블릭,05퍼지로즈,232,120,126,48,173,146,#E8787E,2025-11-25 13:45:27
A20251125134527139947,A_normal,liptint,네이처리퍼블릭,06몽롱모브,207,101,111,42,171,143,#CF656F,2025-11-25 13:45:27
A20251125134527712484,A_normal,liptint,노노어,001캐시미어로즈,185,101,109,40,163,139,#B9656D,2025-11-25 13:45:27
A20251125134527775338,A_normal,liptint,노노어,002스웨이드로지브라운,152,98,93,36,150,140,#98625D,2025-11-25 13:45:27
A20251125134527228897,A_normal,liptint,노노어,003쉬폰피치에코,197,95,82,40,169,156,#C55F52,2025-11-25 13:45:27
A20251125134527245388,A_normal,liptint,노노어,005프린지레드우드,169,98,91,38,157,145,#A9625B,2025-11-25 13:45:27
A20251125134527133851,A_normal,liptint,노노어,006베일드피오니핑크,214,129,125,48,161,145,#D6817D,2025-11-25 13:45:27
A20251125134527409075,A_normal,liptint,노노어,007슬릿페일피치,210,151,136,51,149,145,#D29788,2025-11-25 13:45:27
A20251125134527469668,A_normal,liptint,노노어,008타프타피치더스트,211,176,156,57,139,143,#D3B09C,2025-11-25 13:45:27
A20251125134527302425,A_normal,liptint,노노어,101코트어스터치,109,75,60,27,141,143,#6D4B3C,2025-11-25 13:45:27
